Vulpix,"('Fire',)",299,38,41,40,50,65,65
Jynx,"('Ice', 'Psychic')",455,65,50,35,115,95,95
Dragonair,"('Dragon',)",420,61,84,65,70,70,70
Gyarados,"('Water', 'Flying')",540,95,125,79,60,100,81
Grimer,"('Poison',)",325,80,80,50,40,50,25
Nidoran(M),"('Poison',)",273,46,57,40,40,40,50
Slowpoke,"('Water', 'Psychic')",315,90,65,65,40,40,15
Oddish,"('Grass', 'Poison')",320,45,50,55,75,65,30
Abra,"('Psychic',)",310,25,20,15,105,55,90
Onix,"('Rock', 'Ground')",385,35,45,160,30,45,70
Weezing,"('Poison',)",490,65,90,120,85,70,60
Cubone,"('Ground',)",320,50,50,95,40,50,35
Bellsprout,"('Grass', 'Poison')",300,50,75,35,70,30,40
Kakuna,"('Bug', 'Poison')",205,45,25,50,25,25,35
Koffing,"('Poison',)",340,40,65,95,60,45,35
Spearow,"('Normal', 'Flying')",262,40,60,30,31,31,70
Porygon,"('Normal',)",395,65,60,70,85,75,40
Lapras,"('Water', 'Ice')",535,130,85,80,85,95,60
Graveler,"('Rock', 'Ground')",390,55,95,115,45,45,35
Seaking,"('Water',)",450,80,92,65,65,80,68
Eevee,"('Normal',)",325,55,55,50,45,65,55
Gengar,"('Ghost', 'Poison')",500,60,65,60,130,75,110
Vaporeon,"('Water',)",525,130,65,60,110,95,65
Haunter,"('Ghost', 'Poison')",405,45,50,45,115,55,95
Nidorino,"('Poison',)",365,61,72,57,55,55,65
Tentacool,"('Water', 'Poison')",335,40,40,35,50,100,70
Chansey,"('Normal',)",450,250,5,5,35,105,50
Arcanine,"('Fire',)",555,90,110,80,100,80,95
Exeggcute,"('Grass', 'Psychic')",325,60,40,80,60,45,40
Paras,"('Bug', 'Grass')",285,35,70,55,45,55,25
Pidgeot,"('Normal', 'Flying')",479,83,80,75,70,70,101
Kangaskhan,"('Normal',)",490,105,95,80,40,80,90
Omastar,"('Rock', 'Water')",495,70,60,125,115,70,55
Weedle,"('Bug', 'Poison')",195,40,35,30,20,20,50
Seadra,"('Water',)",440,55,65,95,95,45,85
Arbok,"('Poison',)",448,60,95,69,65,79,80
Rapidash,"('Fire',)",500,65,100,70,80,80,105
Electrode,"('Electric',)",490,60,50,70,80,80,150
Golduck,"('Water',)",500,80,82,78,95,80,85
Slowbro,"('Water', 'Psychic')",490,95,75,110,100,80,30
Ponyta,"('Fire',)",410,50,85,55,65,65,90
Dewgong,"('Water', 'Ice')",475,90,70,80,70,95,70
